person,food divider,non-native,married,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
1,FALSE,FALSE,FALSE,,B,,,,,
2,TRUE,FALSE,FALSE,,,,,,,
3,TRUE,FALSE,FALSE,,,,,,,
4,FALSE,FALSE,FALSE,,,,,,D,
5,FALSE,FALSE,FALSE,B,,,,,,
6,FALSE,TRUE,FALSE,,C,,,,,
7,FALSE,FALSE,FALSE,,C,,,,,
8,FALSE,FALSE,FALSE,,B,,,,,
9,FALSE,FALSE,TRUE,,C,,,,,
10,FALSE,FALSE,FALSE,,,,,B,,
11,FALSE,FALSE,FALSE,,,,,,,D
12,FALSE,FALSE,FALSE,,,,,,,D
13,FALSE,FALSE,FALSE,,,,,C,,
14,FALSE,FALSE,FALSE,,,,B,,,
15,FALSE,TRUE,FALSE,,C,,,,,
16,FALSE,FALSE,FALSE,,,,,,,
17,FALSE,FALSE,FALSE,,,,,C,,
18,FALSE,FALSE,FALSE,B,,,,,,
19,FALSE,FALSE,FALSE,,,,,,,B
20,TRUE,FALSE,FALSE,,,,,,,
21,FALSE,FALSE,FALSE,,,,,E,,
22,FALSE,TRUE,FALSE,,,,,,,
23,FALSE,TRUE,FALSE,,,,B,,,
24,FALSE,TRUE,FALSE,,,,,,,
25,FALSE,FALSE,TRUE,,,,,,,
26,FALSE,FALSE,FALSE,,,,,,,B
27,FALSE,FALSE,FALSE,,,,C,,,
28,FALSE,FALSE,FALSE,,,,,,A,
29,FALSE,FALSE,TRUE,,,,,C,,
30,FALSE,FALSE,TRUE,,,,,B,,
31,FALSE,TRUE,FALSE,,,,,,B,
32,FALSE,FALSE,FALSE,B,,,,,,
33,FALSE,TRUE,FALSE,,,,,,B,
34,FALSE,FALSE,FALSE,,,B,,,,
35,FALSE,FALSE,FALSE,,,B,,,,
36,FALSE,FALSE,FALSE,C,,,,,,
37,FALSE,FALSE,FALSE,,,,B,,,
38,FALSE,FALSE,TRUE,,,,,B,,
39,FALSE,TRUE,FALSE,,,D,,,,
40,FALSE,TRUE,FALSE,,,D,,,,
41,FALSE,FALSE,FALSE,,,D,,,,
42,TRUE,FALSE,TRUE,,,,,,,
43,FALSE,FALSE,FALSE,,,C,,,,
44,FALSE,FALSE,FALSE,,,,C,,,
45,FALSE,FALSE,TRUE,,,,B,,,
46,FALSE,TRUE,FALSE,,,,,,B,
47,FALSE,FALSE,FALSE,,,,,,D,
48,FALSE,FALSE,TRUE,,,,E,,,
49,FALSE,FALSE,FALSE,,,,D,,,
50,FALSE,FALSE,FALSE,C,,,,,,
51,FALSE,FALSE,FALSE,,,,,D,,
52,FALSE,FALSE,FALSE,,,,,,,A
53,FALSE,TRUE,FALSE,,,,D,,,
54,FALSE,FALSE,FALSE,C,,,,,,
55,TRUE,FALSE,FALSE,,,,,,,
56,FALSE,TRUE,FALSE,,,,,,,
57,FALSE,FALSE,FALSE,,,,,D,,
58,FALSE,FALSE,FALSE,A,,,,A,,
59,FALSE,TRUE,FALSE,,,C,,,,
60,FALSE,TRUE,FALSE,,A,,,,,
61,FALSE,FALSE,FALSE,,,,D,,,
62,FALSE,TRUE,FALSE,,,,,,,
63,FALSE,FALSE,TRUE,,,,,A,,
64,FALSE,FALSE,FALSE,,,,,,D,
65,FALSE,TRUE,TRUE,,,,E,,A,
66,FALSE,FALSE,FALSE,,A,,D,,,
67,FALSE,FALSE,TRUE,,A,,,,,
68,FALSE,FALSE,FALSE,,,,A,,,
69,FALSE,FALSE,FALSE,,,A,,,,
70,FALSE,FALSE,FALSE,A,,,,,,
71,FALSE,FALSE,FALSE,,,,,E,,
72,FALSE,FALSE,FALSE,,,,,,,A
73,FALSE,FALSE,FALSE,,,,A,,,
74,FALSE,FALSE,FALSE,,,,,,A,
75,FALSE,FALSE,FALSE,,,,,D,,
76,FALSE,TRUE,TRUE,A,,,,,,
77,TRUE,FALSE,FALSE,,,,,,,
78,FALSE,FALSE,FALSE,,,,,,,D
79,FALSE,FALSE,FALSE,,,,,A,,
80,FALSE,FALSE,FALSE,,,A,,,,B
81,FALSE,TRUE,TRUE,,,,,,,
82,FALSE,FALSE,FALSE,,,A,,,,
83,FALSE,TRUE,FALSE,,,D,,,,
84,FALSE,FALSE,FALSE,,,,,,,
85,FALSE,TRUE,FALSE,,,,,,,
86,FALSE,FALSE,FALSE,,,,A,,,
87,FALSE,FALSE,FALSE,,,,,,,
88,FALSE,FALSE,FALSE,,,,,,,A
89,FALSE,TRUE,FALSE,,,,,,,
90,FALSE,FALSE,FALSE,,,C,,,,
