,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,food_divider,non_native,married,Total Score
1,,B,,,,,,,,,,,,,B,,B,,B,False,False,False,12.0
2,,,,,,,,,,,,,,,,,,,,True,False,False,0.0
3,,,,,,,,,,,,,,,,,,,,True,False,False,0.0
4,,,,,,D,,,,,,,,,,,,,,False,False,False,12.0
5,B,,,,,,,,,,,,,,,,,,D,False,False,False,11.0
6,,C,,,,,,,,,,,,,,,,D,,False,True,False,11.0
7,,C,,,,,,,,,,,,D,,,,,,False,False,False,15.0
8,,B,,,,,,,,,,,,D,,,,,,False,False,False,15.0
9,,C,,,,,,,,B,,,,,,B,,B,,False,False,True,12.0
10,,,,,B,,,,,,,,,D,,,,,,False,False,False,15.0
11,,,,,,,D,,,,,,,,,,,,,False,False,False,12.0
12,,,,,,,D,,,,,,,,,,,,,False,False,False,12.0
13,,,,,C,,,,,,,,,,,,,,D,False,False,False,11.0
14,,,,B,,,,,,,,,,B,,,,,,False,False,False,15.0
15,,C,,,,,,,,,,,,,,,,D,,False,True,False,11.0
16,,,,,,,,,,,,,,B,,,,,,False,False,False,12.0
17,,,,,C,,,,,,,,,B,,,,,,False,False,False,15.0
18,B,,,,,,,,,B,,,,,,,B,,B,False,False,False,12.0
19,,,,,,,B,,,,,,,,,,,,,False,False,False,12.0
20,,,,,,,,,,,,,,,,,,,,True,False,False,0.0
21,,,,,E,,,,,,,,,,,,,,D,False,False,False,12.0
22,,,,,,,,,B,,B,,,,B,,,B,,False,True,False,12.0
23,,,,B,,,,,,,,,,,,D,,,,False,True,False,11.0
24,,,,,,,,,,,D,,,,B,,B,,,False,True,False,14.0
25,,,,,,,,,,B,,,,,,,,D,,False,False,True,11.0
26,,,,,,,B,,,,,,,,,,,,,False,False,False,12.0
27,,,,C,,,,,,,,,D,,,,,,,False,False,False,15.0
28,,,,,,A,,,,,,,,,,,,,,False,False,False,12.0
29,,,,,C,,,,,,B,,,,,,D,,,False,False,True,14.0
30,,,,,B,,,,B,,,,,,,,D,,,False,False,True,14.0
31,,,,,,B,,,,,,,,,,,,,,False,True,False,12.0
32,B,,,,,,,,,,,D,,,,,,,B,False,False,False,14.0
33,,,,,,B,,,,,,,,,,,,,,False,True,False,12.0
34,,,B,,,,,,,,,,B,,,,,,,False,False,False,15.0
35,,,B,,,,,,,,,,B,,,,,,,False,False,False,15.0
